  0.0    0.41806E-01    0.10000E+01    0.25083E-01
  0.5    0.82882E-01    0.98255E+00    0.24646E-01
  1.0    0.12195E+00    0.93458E+00    0.23442E-01
  1.5    0.15811E+00    0.86495E+00    0.21696E-01
  2.0    0.19085E+00    0.78311E+00    0.19643E-01
  2.5    0.21998E+00    0.69662E+00    0.17474E-01
  3.0    0.24552E+00    0.61097E+00    0.15326E-01
  3.5    0.26767E+00    0.52980E+00    0.13291E-01
  4.0    0.28670E+00    0.45522E+00    0.11420E-01
  4.5    0.30292E+00    0.38788E+00    0.97320E-02
  5.0    0.31667E+00    0.32859E+00    0.82450E-02
  5.5    0.32826E+00    0.27733E+00    0.69593E-02
  6.0    0.33804E+00    0.23371E+00    0.58651E-02
  6.5    0.34628E+00    0.19700E+00    0.49441E-02
  7.0    0.35324E+00    0.16647E+00    0.41780E-02
  7.5    0.35916E+00    0.14145E+00    0.35504E-02
  8.0    0.36423E+00    0.12119E+00    0.30420E-02
  8.5    0.36862E+00    0.10485E+00    0.26320E-02
  9.0    0.37245E+00    0.91629E-01    0.23003E-02
  9.5    0.37583E+00    0.80859E-01    0.20300E-02
 10.0    0.37884E+00    0.71947E-01    0.18062E-02
 10.5    0.38154E+00    0.64512E-01    0.16192E-02
 11.0    0.38398E+00    0.58352E-01    0.14642E-02
 11.5    0.38621E+00    0.53315E-01    0.13373E-02
 12.0    0.38827E+00    0.49192E-01    0.12334E-02
 12.5    0.39018E+00    0.45799E-01    0.11479E-02
 13.0    0.39197E+00    0.42960E-01    0.10763E-02
 13.5    0.39367E+00    0.40642E-01    0.10179E-02
 14.0    0.39529E+00    0.38749E-01    0.97042E-03
 14.5    0.39684E+00    0.37088E-01    0.92889E-03
 15.0    0.39832E+00    0.35457E-01    0.88807E-03
 15.5    0.39972E+00    0.33730E-01    0.84481E-03
 16.0    0.40106E+00    0.32061E-01    0.80309E-03
 16.5    0.40234E+00    0.30504E-01    0.76422E-03
 17.0    0.40354E+00    0.28917E-01    0.72458E-03
 17.5    0.40468E+00    0.27221E-01    0.68209E-03
 18.0    0.40575E+00    0.25494E-01    0.63878E-03
 18.5    0.40674E+00    0.23914E-01    0.59914E-03
 19.0    0.40769E+00    0.22529E-01    0.56441E-03
