 48.0    0.66875E+01    0.22655E+00    0.16020E+04
 48.5    0.67339E+01    0.22720E+00    0.16066E+04
 49.0    0.67805E+01    0.22779E+00    0.16108E+04
 49.5    0.68272E+01    0.22870E+00    0.16172E+04
 50.0    0.68741E+01    0.22974E+00    0.16246E+04
 50.5    0.69211E+01    0.22999E+00    0.16264E+04
 51.0    0.69680E+01    0.22928E+00    0.16214E+04
 51.5    0.70145E+01    0.22785E+00    0.16113E+04
 52.0    0.70609E+01    0.22723E+00    0.16069E+04
 52.5    0.71074E+01    0.22757E+00    0.16093E+04
 53.0    0.71539E+01    0.22753E+00    0.16090E+04
 53.5    0.72002E+01    0.22673E+00    0.16034E+04
 54.0    0.72463E+01    0.22573E+00    0.15963E+04
 54.5    0.72923E+01    0.22515E+00    0.15921E+04
 55.0    0.73383E+01    0.22483E+00    0.15899E+04
 55.5    0.73841E+01    0.22444E+00    0.15871E+04
 56.0    0.74299E+01    0.22420E+00    0.15855E+04
 56.5    0.74756E+01    0.22361E+00    0.15813E+04
 57.0    0.75211E+01    0.22269E+00    0.15747E+04
 57.5    0.75665E+01    0.22204E+00    0.15702E+04
 58.0    0.76118E+01    0.22201E+00    0.15699E+04
 58.5    0.76573E+01    0.22279E+00    0.15755E+04
 59.0    0.77032E+01    0.22426E+00    0.15858E+04
 59.5    0.77493E+01    0.22584E+00    0.15971E+04
 60.0    0.77955E+01    0.22599E+00    0.15981E+04
 60.5    0.78414E+01    0.22492E+00    0.15906E+04
 61.0    0.78871E+01    0.22350E+00    0.15805E+04
 61.5    0.79325E+01    0.22261E+00    0.15742E+04
 62.0    0.79781E+01    0.22279E+00    0.15755E+04
 62.5    0.80236E+01    0.22313E+00    0.15779E+04
 63.0    0.80692E+01    0.22282E+00    0.15757E+04
 63.5    0.81145E+01    0.22199E+00    0.15698E+04
 64.0    0.81596E+01    0.22052E+00    0.15594E+04
 64.5    0.82042E+01    0.21868E+00    0.15464E+04
 65.0    0.82485E+01    0.21670E+00    0.15324E+04
 65.5    0.82923E+01    0.21441E+00    0.15162E+04
 66.0    0.83357E+01    0.21240E+00    0.15020E+04
 66.5    0.83788E+01    0.21082E+00    0.14908E+04
 67.0    0.84218E+01    0.21038E+00    0.14877E+04
 67.5    0.84649E+01    0.21119E+00    0.14934E+04
 68.0    0.85083E+01    0.21238E+00    0.15019E+04
 68.5    0.85518E+01    0.21299E+00    0.15062E+04
 69.0    0.85952E+01    0.21247E+00    0.15025E+04
 69.5    0.86384E+01    0.21127E+00    0.14940E+04
 70.0    0.86812E+01    0.20948E+00    0.14813E+04
 70.5    0.87235E+01    0.20702E+00    0.14640E+04
 71.0    0.87653E+01    0.20485E+00    0.14486E+04
 71.5    0.88067E+01    0.20280E+00    0.14341E+04
 72.0    0.88478E+01    0.20104E+00    0.14217E+04
 72.5    0.88887E+01    0.20021E+00    0.14158E+04
 73.0    0.89297E+01    0.20040E+00    0.14171E+04
 73.5    0.89707E+01    0.20098E+00    0.14212E+04
 74.0    0.90118E+01    0.20113E+00    0.14223E+04
 74.5    0.90528E+01    0.20058E+00    0.14184E+04
 75.0    0.90935E+01    0.19945E+00    0.14104E+04
